Title,Categories,Uri,FullPath
"March 10, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/03/10/index.html","E:\repos\Processtune-web\www\2017\03\10\index.html"
"March 13, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/03/13/index.html","E:\repos\Processtune-web\www\2017\03\13\index.html"
"May 6, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/05/06/index.html","E:\repos\Processtune-web\www\2017\05\06\index.html"
"May 10, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/05/10/index.html","E:\repos\Processtune-web\www\2017\05\10\index.html"
"May 17, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/05/17/index.html","E:\repos\Processtune-web\www\2017\05\17\index.html"
"May 24, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/05/24/index.html","E:\repos\Processtune-web\www\2017\05\24\index.html"
"June 3, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/06/03/index.html","E:\repos\Processtune-web\www\2017\06\03\index.html"
"June 10, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/06/10/index.html","E:\repos\Processtune-web\www\2017\06\10\index.html"
"July 25, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/07/25/index.html","E:\repos\Processtune-web\www\2017\07\25\index.html"
"August 1, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/08/01/index.html","E:\repos\Processtune-web\www\2017\08\01\index.html"
"August 8, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/08/08/index.html","E:\repos\Processtune-web\www\2017\08\08\index.html"
"August 15, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/08/15/index.html","E:\repos\Processtune-web\www\2017\08\15\index.html"
"August 22, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/08/22/index.html","E:\repos\Processtune-web\www\2017\08\22\index.html"
"August 29, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/08/29/index.html","E:\repos\Processtune-web\www\2017\08\29\index.html"
"September 6, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/09/06/index.html","E:\repos\Processtune-web\www\2017\09\06\index.html"
"September 13, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/09/13/index.html","E:\repos\Processtune-web\www\2017\09\13\index.html"
